index,지역명,연도,월,평당분양가격,전용면적
127,세종,2015,11,8797.8,60m²~85m²
128,세종,2015,11,8725.199999999999,85m²~102m²
129,세종,2015,11,9071.699999999999,102m²~
130,강원,2015,11,7164.299999999999,모든면적
131,강원,2015,11,7563.599999999999,60m²
132,강원,2015,11,7236.9,60m²~85m²
133,강원,2015,11,6801.299999999999,85m²~102m²
134,강원,2015,11,7164.299999999999,102m²~
135,충북,2015,11,6613.2,모든면적
136,충북,2015,11,6339.299999999999,60m²
137,충북,2015,11,6649.5,60m²~85m²
138,충북,2015,11,6164.4,85m²~102m²
139,충북,2015,11,7514.099999999999,102m²~
140,충남,2015,11,6930.0,모든면적
141,충남,2015,11,7306.2,60m²
142,충남,2015,11,6946.5,60m²~85m²
143,충남,2015,11,8325.9,85m²~102m²
144,충남,2015,11,8144.4,102m²~
145,전북,2015,11,6788.099999999999,모든면적
146,전북,2015,11,7025.7,60m²
147,전북,2015,11,6788.099999999999,60m²~85m²
148,전북,2015,11,7844.099999999999,85m²~102m²
149,전북,2015,11,7530.599999999999,102m²~
150,전남,2015,11,6299.7,모든면적
151,전남,2015,11,6596.7,60m²
152,전남,2015,11,6289.799999999999,60m²~85m²
153,전남,2015,11,7464.599999999999,85m²~102m²
154,전남,2015,11,7180.799999999999,102m²~
155,경북,2015,11,7227.0,모든면적
156,경북,2015,11,7293.0,60m²
157,경북,2015,11,7213.799999999999,60m²~85m²
158,경북,2015,11,8302.8,85m²~102m²
159,경북,2015,11,7821.0,102m²~
160,경남,2015,11,7583.4,모든면적
161,경남,2015,11,7260.0,60m²
162,경남,2015,11,7662.599999999999,60m²~85m²
163,경남,2015,11,9834.0,85m²~102m²
164,경남,2015,11,10041.9,102m²~
165,제주,2015,11,7365.599999999999,모든면적
166,제주,2015,11,,60m²
167,제주,2015,11,7342.5,60m²~85m²
168,제주,2015,11,8523.9,85m²~102m²
169,제주,2015,11,8494.199999999999,102m²~
170,서울,2015,12,19935.3,모든면적
171,서울,2015,12,20859.3,60m²
172,서울,2015,12,19687.8,60m²~85m²
173,서울,2015,12,21492.899999999998,85m²~102m²
174,서울,2015,12,21618.3,102m²~
175,인천,2015,12,10507.199999999999,모든면적
176,인천,2015,12,10982.4,60m²
177,인천,2015,12,10292.699999999999,60m²~85m²
178,인천,2015,12,11698.5,85m²~102m²
179,인천,2015,12,11246.4,102m²~
180,경기,2015,12,10553.4,모든면적
181,경기,2015,12,10866.9,60m²
182,경기,2015,12,10936.199999999999,60m²~85m²
183,경기,2015,12,11381.699999999999,85m²~102m²
184,경기,2015,12,12705.0,102m²~
185,부산,2015,12,10319.099999999999,모든면적
186,부산,2015,12,9738.3,60m²
187,부산,2015,12,10005.6,60m²~85m²
188,부산,2015,12,9758.1,85m²~102m²
189,부산,2015,12,12338.699999999999,102m²~
190,대구,2015,12,9774.6,모든면적
191,대구,2015,12,10830.599999999999,60m²
192,대구,2015,12,9804.3,60m²~85m²
193,대구,2015,12,8355.6,85m²~102m²
194,대구,2015,12,9051.9,102m²~
195,광주,2015,12,8170.799999999999,모든면적
196,광주,2015,12,7903.5,60m²
197,광주,2015,12,8213.699999999999,60m²~85m²
198,광주,2015,12,,85m²~102m²
199,광주,2015,12,,102m²~
200,대전,2015,12,8098.2,모든면적
201,대전,2015,12,8530.5,60m²
202,대전,2015,12,8012.4,60m²~85m²
203,대전,2015,12,8121.299999999999,85m²~102m²
204,대전,2015,12,,102m²~
205,울산,2015,12,10041.9,모든면적
206,울산,2015,12,8527.199999999999,60m²
207,울산,2015,12,10058.4,60m²~85m²
208,울산,2015,12,8787.9,85m²~102m²
209,울산,2015,12,9484.199999999999,102m²~
210,세종,2015,12,8794.5,모든면적
211,세종,2015,12,8583.3,60m²
212,세종,2015,12,8830.8,60m²~85m²
213,세종,2015,12,8781.3,85m²~102m²
214,세종,2015,12,9081.6,102m²~
215,강원,2015,12,7164.299999999999,모든면적
216,강원,2015,12,7563.599999999999,60m²
217,강원,2015,12,7236.9,60m²~85m²
218,강원,2015,12,6801.299999999999,85m²~102m²
219,강원,2015,12,7164.299999999999,102m²~
220,충북,2015,12,6616.5,모든면적
221,충북,2015,12,6405.299999999999,60m²
222,충북,2015,12,6656.099999999999,60m²~85m²
223,충북,2015,12,7510.799999999999,85m²~102m²
224,충북,2015,12,7461.299999999999,102m²~
225,충남,2015,12,7487.7,모든면적
226,충남,2015,12,8045.4,60m²
227,충남,2015,12,7520.7,60m²~85m²
228,충남,2015,12,8325.9,85m²~102m²
229,충남,2015,12,8065.2,102m²~
230,전북,2015,12,6543.9,모든면적
231,전북,2015,12,6352.5,60m²
232,전북,2015,12,6557.099999999999,60m²~85m²
233,전북,2015,12,7844.099999999999,85m²~102m²
234,전북,2015,12,7530.599999999999,102m²~
235,전남,2015,12,6299.7,모든면적
236,전남,2015,12,6596.7,60m²
237,전남,2015,12,6289.799999999999,60m²~85m²
238,전남,2015,12,7464.599999999999,85m²~102m²
239,전남,2015,12,7180.799999999999,102m²~
240,경북,2015,12,7197.299999999999,모든면적
241,경북,2015,12,7187.4,60m²
242,경북,2015,12,7207.2,60m²~85m²
243,경북,2015,12,8302.8,85m²~102m²
244,경북,2015,12,7821.0,102m²~
245,경남,2015,12,7613.099999999999,모든면적
246,경남,2015,12,7524.0,60m²
247,경남,2015,12,7685.7,60m²~85m²
248,경남,2015,12,9682.199999999999,85m²~102m²
249,경남,2015,12,9962.699999999999,102m²~
250,제주,2015,12,7484.4,모든면적
251,제주,2015,12,,60m²
252,제주,2015,12,7458.0,60m²~85m²
253,제주,2015,12,8523.9,85m²~102m²
254,제주,2015,12,8494.199999999999,102m²~
255,서울,2016,1,20156.399999999998,모든면적
256,서울,2016,1,21209.1,60m²
257,서울,2016,1,19918.8,60m²~85m²
258,서울,2016,1,21492.899999999998,85m²~102m²
259,서울,2016,1,21618.3,102m²~
260,인천,2016,1,10530.3,모든면적
261,인천,2016,1,10982.4,60m²
262,인천,2016,1,10263.0,60m²~85m²
263,인천,2016,1,11698.5,85m²~102m²
264,인천,2016,1,11246.4,102m²~
265,경기,2016,1,10553.4,모든면적
266,경기,2016,1,10866.9,60m²
267,경기,2016,1,10932.9,60m²~85m²
268,경기,2016,1,11385.0,85m²~102m²
269,경기,2016,1,12705.0,102m²~
270,부산,2016,1,10401.599999999999,모든면적
271,부산,2016,1,9738.3,60m²
272,부산,2016,1,10088.1,60m²~85m²
273,부산,2016,1,9758.1,85m²~102m²
274,부산,2016,1,12579.599999999999,102m²~
275,대구,2016,1,10183.8,모든면적
276,대구,2016,1,11025.3,60m²
277,대구,2016,1,10239.9,60m²~85m²
278,대구,2016,1,8355.6,85m²~102m²
279,대구,2016,1,9051.9,102m²~
280,광주,2016,1,8477.699999999999,모든면적
281,광주,2016,1,7903.5,60m²
282,광주,2016,1,8520.6,60m²~85m²
283,광주,2016,1,,85m²~102m²
284,광주,2016,1,,102m²~
285,대전,2016,1,8098.2,모든면적
286,대전,2016,1,8530.5,60m²
287,대전,2016,1,8012.4,60m²~85m²
288,대전,2016,1,8121.299999999999,85m²~102m²
289,대전,2016,1,,102m²~
290,울산,2016,1,10051.8,모든면적
291,울산,2016,1,8527.199999999999,60m²
292,울산,2016,1,10074.9,60m²~85m²
293,울산,2016,1,8787.9,85m²~102m²
294,울산,2016,1,9484.199999999999,102m²~
295,세종,2016,1,8794.5,모든면적
296,세종,2016,1,8583.3,60m²
297,세종,2016,1,8830.8,60m²~85m²
298,세종,2016,1,8781.3,85m²~102m²
299,세종,2016,1,9081.6,102m²~
300,강원,2016,1,7170.9,모든면적
301,강원,2016,1,7557.0,60m²
302,강원,2016,1,7256.7,60m²~85m²
303,강원,2016,1,6801.299999999999,85m²~102m²
304,강원,2016,1,7164.299999999999,102m²~
305,충북,2016,1,6626.4,모든면적
306,충북,2016,1,6441.599999999999,60m²
307,충북,2016,1,6669.299999999999,60m²~85m²
308,충북,2016,1,7510.799999999999,85m²~102m²
309,충북,2016,1,7461.299999999999,102m²~
310,충남,2016,1,7491.0,모든면적
311,충남,2016,1,8187.299999999999,60m²
312,충남,2016,1,7527.299999999999,60m²~85m²
313,충남,2016,1,8385.3,85m²~102m²
314,충남,2016,1,8065.2,102m²~
315,전북,2016,1,6534.0,모든면적
316,전북,2016,1,6296.4,60m²
317,전북,2016,1,6557.099999999999,60m²~85m²
318,전북,2016,1,7844.099999999999,85m²~102m²
319,전북,2016,1,7530.599999999999,102m²~
320,전남,2016,1,6299.7,모든면적
321,전남,2016,1,6596.7,60m²
322,전남,2016,1,6289.799999999999,60m²~85m²
323,전남,2016,1,7464.599999999999,85m²~102m²
324,전남,2016,1,7180.799999999999,102m²~
325,경북,2016,1,7197.299999999999,모든면적
326,경북,2016,1,7187.4,60m²
327,경북,2016,1,7210.5,60m²~85m²
328,경북,2016,1,8302.8,85m²~102m²
329,경북,2016,1,7741.799999999999,102m²~
330,경남,2016,1,7679.099999999999,모든면적
331,경남,2016,1,7491.0,60m²
332,경남,2016,1,7748.4,60m²~85m²
333,경남,2016,1,9652.5,85m²~102m²
334,경남,2016,1,9332.4,102m²~
335,제주,2016,1,7484.4,모든면적
336,제주,2016,1,,60m²
337,제주,2016,1,7458.0,60m²~85m²
338,제주,2016,1,8523.9,85m²~102m²
339,제주,2016,1,8494.199999999999,102m²~
340,서울,2016,2,20166.3,모든면적
341,서울,2016,2,21245.399999999998,60m²
342,서울,2016,2,19928.7,60m²~85m²
343,서울,2016,2,21492.899999999998,85m²~102m²
344,서울,2016,2,21311.399999999998,102m²~
345,인천,2016,2,10533.599999999999,모든면적
346,인천,2016,2,10982.4,60m²
347,인천,2016,2,10269.599999999999,60m²~85m²
